#### EXPORT DONNEES METEO POUR "SAINT-JACUT-DE-LA-MER" (LAT/LON: 48.59734/-2.190028)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2023-01-01,12,9,36,11,11,11,3,79,8.875,1015,91.75,12,10,7,119,176,176,0,3,3.9,météo défavorable,17:24:00,09:01:00,12
2023-01-02,10,8,22,10,10,9,1.6,69,10,1028,63.375,10,7,7,122,122,113,0,2,3.9,météo défavorable,17:25:00,09:01:00,10
2023-01-03,12,8,40,9,11,12,0,83,10,1025,87.375,12,10,6,122,176,176,0,3,2.1,météo défavorable,17:26:00,09:01:00,8
2023-01-04,13,12,41,13,13,13,0.4,93,8,1024,96.125,13,12,10,119,122,122,0,3,2.1,météo défavorable,17:27:00,09:01:00,13
2023-01-05,13,12,27,12,13,12,0.3,91,9,1025,77.125,13,12,10,176,119,116,0,3,2.1,météo défavorable,17:28:00,09:01:00,13
2023-01-06,13,10,27,11,11,12,0.3,90,8.875,1022,70.75,13,10,8,176,176,116,0,3,3.9,météo défavorable,17:29:00,09:00:00,11
2023-01-07,13,9,45,12,11,10,1.3,86,8.875,1012,87.375,13,9,8,299,119,122,0,4,3.9,météo défavorable,17:30:00,09:00:00,13
2023-01-08,9,8,37,8,9,9,0.4,84,10,1003,55.375,9,6,3,113,176,122,0,3,6.8,météo défavorable,17:31:00,09:00:00,8
2023-01-09,9,7,44,7,9,9,1,83,9.875,1016,66.75,9,4,2,299,299,119,0,2,5,météo défavorable,17:33:00,08:59:00,8
2023-01-10,14,8,41,12,13,13,2.6,92,8.75,1019,96.25,14,11,9,176,122,122,0,3,3.3,météo défavorable,17:34:00,08:59:00,8
2023-01-11,11,9,42,9,10,10,0.5,84,9.25,1017,61,11,10,5,113,122,119,0,2,6.9,météo défavorable,17:35:00,08:59:00,10
2023-01-12,12,10,46,11,12,12,0.5,88,9.875,1019,95,12,10,8,122,122,176,0,3,3.3,météo défavorable,17:37:00,08:58:00,11
2023-01-13,11,9,40,10,11,10,0.6,80,10,1021,64.125,11,8,5,176,116,116,0,2,6.9,météo défavorable,17:38:00,08:57:00,9
2023-01-14,12,8,47,12,12,9,4.5,96,6.625,1020,100,12,11,8,122,176,176,0,3,3.3,météo défavorable,17:39:00,08:57:00,11
2023-01-15,9,7,45,8,9,8,2.3,73,9.25,1014,84.875,9,4,3,176,176,176,0,2,3.3,météo défavorable,17:41:00,08:56:00,8
2023-01-16,8,6,46,8,8,7,3.2,67,9.75,994,82,8,4,2,299,176,299,0,2,3.3,météo très défavorable,17:42:00,08:55:00,7
2023-01-17,6,4,33,5,6,5,1.7,62,9.875,996,82.25,6,1,0,119,176,176,0.7,1,3.3,météo très défavorable,17:44:00,08:55:00,6
2023-01-18,7,4,36,5,7,6,5.4,63,9.5,1007,78.125,7,0,1,299,299,119,0.1,1,3.3,météo très défavorable,17:45:00,08:54:00,5
2023-01-19,7,5,22,6,7,6,1.2,57,9.75,1017,81.25,7,1,2,176,176,176,0,2,6.9,météo très défavorable,17:46:00,08:53:00,6
2023-01-20,6,4,17,5,6,6,0.1,75,8,1024,76,6,3,1,122,119,176,0,2,3.4,météo très défavorable,17:48:00,08:52:00,5
2023-01-21,7,5,15,6,7,6,0,71,10,1033,42,7,3,3,113,116,116,0,3,8.7,météo très défavorable,17:49:00,08:51:00,6
2023-01-22,5,2,13,3,4,4,0,65,10,1036,46,5,0,-2,113,116,116,0,2,8.7,météo très défavorable,17:51:00,08:50:00,4
2023-01-23,7,3,22,3,7,7,0,68,10,1037,22.5,7,2,-1,113,113,116,0,2,5.2,météo très défavorable,17:52:00,08:49:00,5
2023-01-24,7,6,26,6,7,7,0,80,10,1038,73.625,7,4,2,119,116,119,0,2,8.7,météo très défavorable,17:54:00,08:48:00,7
2023-01-25,8,6,17,6,8,8,0,76,10,1037,55,8,7,3,119,113,116,0,3,8.7,météo très défavorable,17:55:00,08:47:00,6
2023-01-26,9,7,43,7,7,8,1,76,10,1029,94.75,9,8,2,176,122,176,0,2,3.4,météo défavorable,17:57:00,08:46:00,8
2023-01-27,8,6,33,7,6,8,0,74,10,1030,86.75,8,3,2,119,176,116,0,2,5.2,météo très défavorable,17:59:00,08:45:00,7
2023-01-28,7,6,20,6,7,6,0,67,10,1032,60.25,7,2,3,122,116,113,0,2,9.6,météo très défavorable,18:00:00,08:44:00,6
